itemid,priceupdatedate,itemcode,itemname,manufacturername,manufacturecountry,manufactureritemdescription,unitqty,quantity,unitofmeasure,itemprice,unitofmeasureprice
31,2015-06-25 17:17:35,7290005973024,גפרורים ארוכים טרי ס,סויידיש מאטש,שוודיה,גפרורים ארוכים טרי ס,"Unknown ",0.00,"יחידה   ",4.90,0.0000
3764,2015-06-25 17:18:10,7290000977881,"תפו""ע במשקל",דין שיווק,סין,"תפו""ע במשקל",קילוגרמים,1.00,"ק""ג",45.00,45.0000
4894,2015-06-25 17:18:21,835811005025,סיר אלומיניום בינוני,קינפויל גאנגזו,,סיר אלומיניום בינוני,"Unknown ",0.00,"יחידה   ",14.90,0.0000
5029,2015-06-25 17:18:22,7290000194172,חטיפים מעורב 250 גרם,ממתקי השלום,ישראל,חטיפים מעורב 250 גרם,גרמים,300.00,100 גרם,12.90,0.0430
5611,2015-06-25 17:18:28,87752010716,יין ברון הרצוג גנס ק,צילאג גמבה אינטרנשיו,ארצות הברית,יין ברון הרצוג גנס ק,מיליליטרים,750.00,"100 מ""ל",48.90,0.0652
13248,2015-06-25 17:19:41,7290002206729,עצמות מח קפוא קהילות,טיבון ויל,ישראל,עצמות מח קפוא קהילות,קילוגרמים,1.00,"ק""ג",44.90,44.9000
21938,2016-04-10 13:20:06,7290105181343,בקבוק צר אריסטוקרט 6,אריסטוקרט,תאילנד,בקבוק צר אריסטוקרט 6,"Unknown ",0.00,"יחידה   ",24.90,0.0000
24667,2016-09-13 13:54:18,7290016276787,מעדן אננס שקדיה 284,שקדיה,ישראל,מעדן אננס שקדיה 284,גרמים,284.00,100 גרם,9.90,0.0349
1236,2017-07-03 09:08:11,7290003681761,גבישי שום מיה 80 גרם,מיה תעשיות מזון בעמ,,גבישי שום מיה 80 גרם,,100.00,,7.90,0.0790
10417,2018-10-07 13:42:34,8710428005762,סימילאק איזומיל טף ש,אבוט,הולנד,סימילאק איזומיל טף ש,,400.00,,41.90,0.1047
